group,total_sample,sample_2018_no,sample_2017_no,two_sided_p_value,two_sided_t_statistic,two_sided_CI,Act_per_2018_Mean,Act_per_2017_Mean,two_sided_des,greater_p_value,greater_t_statistic,greater_CI,premium_2018_Mean,premium_2017_Mean,greater_des,y_2017,y_2018,y_score,not_equal_sig,greater_sig
28-38_E1,509,506,3,0.07,3.35,"(-0.459952037333204, 5.351614744452334)",10.21,7.77,Two-Sample Welch's t-test,0.004,7.0,"(inf, 11245.766530574812)",11604.69,3975.0,Two-Sample Welch's t-test,0.019367531928411754,8.003928102555944,7.984560570627533,False,True
39-45_E1,475,468,7,0.0,8.26,"(3.001358170309323, 5.4435205400191)",11.53,7.31,Two-Sample Welch's t-test,0.0,5.82,"(inf, 10481.2667010765)",15701.22,8134.29,Two-Sample Welch's t-test,0.0672549168641704,6.05223489952703,5.98497998266286,True,True
28-38_A1,469,200,269,0.241,-1.17,"(-0.9118971433382309, 0.23044856591753515)",6.7,7.04,Two-Sample Welch's t-test,0.0,4.45,"(inf, 3587.3663887079165)",8325.0,5838.29,Two-Sample Welch's t-test,7.274874930516955,4.784276539804319,-2.4905983907126354,False,True
53+_C1,462,232,230,0.0,9.41,"(1.7522959729759902, 2.679347237474001)",10.28,8.07,Two-Sample Welch's t-test,0.885,-1.2,"(inf, 639.8312407361404)",20258.88,21268.2,Two-Sample Welch's t-test,10.800449285047083,9.789746673180028,-1.0107026118670563,True,False
39-45_A1,436,121,315,0.0,-10.71,"(-3.2731025256737487, -2.254064365595947)",4.7,7.47,Two-Sample Welch's t-test,0.006,2.52,"(inf, 2674.814912609455)",6818.18,5319.05,Two-Sample Welch's t-test,10.26937574698906,5.214258627227911,-5.055117119761149,True,True
46-52_C1,387,225,162,0.126,1.54,"(-0.1225178191108326, 0.991245738925297)",8.75,8.31,Two-Sample Welch's t-test,0.093,1.33,"(inf, 2073.828825247934)",10036.8,9201.78,Two-Sample Welch's t-test,7.906339496915062,10.499225813314448,2.592886316399387,False,False
46-52_E1,333,330,3,0.01,7.76,"(1.6677165080286906, 4.845546921954969)",12.04,8.78,Two-Sample Welch's t-test,0.171,1.2,"(inf, 23861.674565258632)",24037.77,18370.0,Two-Sample Welch's t-test,0.08057183634925807,6.971017400421664,6.890445564072406,True,False
39-45_C1,298,91,207,0.0,-4.79,"(-2.5264858829199, -1.0472273983078217)",6.23,8.02,Two-Sample Welch's t-test,0.115,1.21,"(inf, 2020.3278040451717)",6828.29,6064.37,Two-Sample Welch's t-test,10.577369817019274,4.992087363095474,-5.5852824539238,True,False
46-52_A2,270,207,63,0.0,20.51,"(6.548934760209868, 7.9399956153648175)",15.48,8.23,Two-Sample Welch's t-test,0.94,-1.57,"(inf, 530.46881120842)",13840.58,15857.14,Two-Sample Welch's t-test,2.6443787099720075,3.362128526604382,0.7177498166323744,True,False
39-45_A2,266,182,84,0.0,14.34,"(5.131103566664667, 6.766114449037605)",14.03,8.08,Two-Sample Welch's t-test,0.665,-0.43,"(inf, 2191.8654379039585)",14985.58,15589.29,Two-Sample Welch's t-test,2.8186976841799383,2.960150103582868,0.14145241940293,True,False
53+_E1,194,194,0,,,,,,,,,,,,,,,,,
28-38_A2,189,133,56,0.0,9.47,"(3.832461750412624, 5.850936520749991)",12.46,7.62,Two-Sample Welch's t-test,0.516,-0.04,"(inf, 2675.2893222322673)",14898.5,14953.12,Two-Sample Welch's t-test,2.0665975641357868,2.8692129755324114,0.8026154113966251,True,False
28-38_C1,106,70,36,0.0,-13.64,"(-5.077904622508671, -3.7875223598309073)",3.16,7.6,Two-Sample Welch's t-test,0.0,4.09,"(inf, 5027.391058984491)",6331.54,2950.81,Two-Sample Welch's t-test,1.9440888473254572,5.226395414722674,3.282306567397217,True,True
1-18_C1,65,34,31,0.0,-4.91,"(-3.1184388255712143, -1.3154939805082722)",2.76,4.98,Two-Sample Welch's t-test,0.004,2.84,"(inf, 4467.606782610504)",3768.09,1165.65,Two-Sample Welch's t-test,4.925373134328359,7.386827847098458,2.4614547127700996,True,True
19-27_A2,50,44,6,0.0,4.81,"(3.0670647287173236, 7.534333150751909)",13.32,8.02,Two-Sample Welch's t-test,0.038,1.82,"(inf, 7235.980808726289)",14062.5,10625.0,Two-Sample Welch's t-test,1.8324889511695592,7.735221039801228,5.9027320886316685,True,True
19-27_C1,31,28,3,0.179,-1.96,"(-11.509004651938687, 3.9377735363237716)",2.55,6.34,Two-Sample Welch's t-test,0.0,4.54,"(inf, 10982.122527766836)",10332.11,2774.0,Two-Sample Welch's t-test,0.6576670128071997,9.858944697365475,9.201277684558276,False,True
1-18_H1,11,0,11,,,,,,,,,,,,,,,,,
19-27_H1,6,0,6,,,,,,,,,,,,,,,,,
19-27_H2,2,0,2,,,,,,,,,,,,,,,,,
46-52_H2,1,0,1,,,,,,,,,,,,,,,,,
1-18_A2,1,1,0,,,,,,,,,,,,,,,,,
19-27_Good,792,405,387,0.0,138.19,"(5.043365795642601, 5.18871590144034)",9.21,4.1,Two-Sample Welch's t-test,0.0,11.96,"(inf, 5609.4713406409855)",7737.74,2919.84,Two-Sample Welch's t-test,6.70468348824393,12.353030634148926,5.648347145904996,True,True
19-27_Very Good,762,395,367,0.0,98.1,"(4.671138557418676, 4.86191914238907)",7.29,2.53,Two-Sample Welch's t-test,0.0,11.14,"(inf, 3924.093935872362)",6708.0,3372.14,Two-Sample Welch's t-test,9.272531391516946,10.506432605651671,1.233901214134725,True,True
19-27_Excellent,741,741,0,,,,,,,,,,,,,,,,,
1-18_Good,722,276,446,0.0,111.26,"(4.766828529997366, 4.938107983933349)",9.22,4.37,Two-Sample Welch's t-test,0.0,8.73,"(inf, 3271.390072308949)",6175.05,3504.69,Two-Sample Welch's t-test,5.2814169195299305,8.493123037823292,3.211706118293361,True,True
1-18_Excellent,670,670,0,,,,,,,,,,,,,,,,,
1-18_Very Good,653,431,222,0.0,91.72,"(4.608014909242657, 4.8096583171164085)",7.26,2.55,Two-Sample Welch's t-test,0.0,7.27,"(inf, 2667.248943729938)",6621.96,4522.23,Two-Sample Welch's t-test,5.626815417015213,6.956312234300029,1.3294968172848156,True,True
53+_Normal,564,170,394,0.0,91.8,"(4.899945758518802, 5.114561357407201)",11.58,6.57,Two-Sample Welch's t-test,0.0,10.83,"(inf, 17344.91219616959)",22810.66,8138.27,Two-Sample Welch's t-test,8.236122592694652,6.36871417179172,-1.8674084209029316,True,True
53+_Very Risk,503,274,229,0.0,45.46,"(6.86754754880868, 7.489188536160125)",16.71,9.53,Two-Sample Welch's t-test,0.0,4.98,"(inf, 12364.785130071954)",21388.86,12524.05,Two-Sample Welch's t-test,5.116182549371843,7.2099607915755985,2.0937782422037547,True,True
53+_Risk,460,143,317,0.0,119.96,"(4.91078970338009, 5.074643742688053)",13.34,8.34,Two-Sample Welch's t-test,0.0,6.78,"(inf, 18956.890530749446)",26418.43,11739.01,Two-Sample Welch's t-test,7.404862207809501,5.92731830163774,-1.4775439061717606,True,True
46-52_Normal,429,167,262,0.0,85.31,"(4.886220226529466, 5.116855936642355)",11.63,6.63,Two-Sample Welch's t-test,0.0,12.72,"(inf, 13348.421675571448)",17625.92,6070.21,Two-Sample Welch's t-test,5.101452144594162,6.392898663944037,1.2914465193498752,True,True
46-52_Very Risk,384,202,182,0.0,34.77,"(7.003313818131679, 7.845237316830311)",16.97,9.55,Two-Sample Welch's t-test,0.0,7.46,"(inf, 11874.139126325583)",18400.18,9003.64,Two-Sample Welch's t-test,2.909607873350304,5.108217250064082,2.1986093767137787,True,True
46-52_Risk,382,147,235,0.0,110.22,"(4.856523847645598, 5.033078595162517)",13.29,8.34,Two-Sample Welch's t-test,0.0,9.2,"(inf, 17026.97036030843)",21505.99,7487.88,Two-Sample Welch's t-test,4.170584670913952,5.645868372069973,1.4752837011560216,True,True
39-45_Normal,362,163,199,0.0,79.45,"(4.7608796443864625, 5.002584020494699)",11.52,6.64,Two-Sample Welch's t-test,0.0,10.35,"(inf, 9009.84556837875)",13660.41,6092.77,Two-Sample Welch's t-test,4.486460444427341,5.440624869429958,0.9541644250026169,True,True
39-45_Risk,340,140,200,0.0,108.36,"(4.9380352139439285, 5.120739273127141)",13.34,8.31,Two-Sample Welch's t-test,0.0,10.79,"(inf, 14510.085050420032)",19380.44,7114.99,Two-Sample Welch's t-test,2.8946225912327637,4.189036271019081,1.2944136797863173,True,True
39-45_Very Risk,319,160,159,0.0,28.17,"(6.770865844609358, 7.791782305564033)",16.79,9.51,Two-Sample Welch's t-test,0.0,8.42,"(inf, 13647.029892718223)",19492.78,8432.04,Two-Sample Welch's t-test,2.0932364506245045,4.402301359180346,2.3090649085558423,True,True
28-38_Normal,263,146,117,0.0,69.38,"(4.92754668937908, 5.215475678241853)",11.69,6.62,Two-Sample Welch's t-test,0.0,9.48,"(inf, 8879.150742880325)",13159.5,5809.5,Two-Sample Welch's t-test,3.1074424854712155,6.411094522022524,3.303652036551309,True,True
19-27_Normal,260,79,181,0.0,61.53,"(4.795163487751116, 5.113417943097464)",11.52,6.56,Two-Sample Welch's t-test,0.0,5.28,"(inf, 7019.783978865835)",11802.72,6697.71,Two-Sample Welch's t-test,7.902057082851385,8.991144963969463,1.0890878811180782,True,True
53+_Good,241,136,105,0.0,60.03,"(4.296587930665173, 4.588163369572988)",9.56,5.11,Two-Sample Welch's t-test,0.0,12.74,"(inf, 17273.089558477437)",22251.37,7294.6,Two-Sample Welch's t-test,6.888869221815269,7.3755483185709565,0.48667909675568777,True,True
28-38_Risk,233,127,106,0.0,92.99,"(4.842802116230277, 5.052504719746445)",13.33,8.38,Two-Sample Welch's t-test,0.0,8.37,"(inf, 11881.664898561354)",17477.01,7860.49,Two-Sample Welch's t-test,2.1520999810131314,5.348689321945345,3.196589340932214,True,True
28-38_Excellent,229,229,0,,,,,,,,,,,,,,,,,
53+_Excellent,216,216,0,,,,,,,,,,,,,,,,,
28-38_Good,206,157,49,0.0,44.57,"(4.292667235802071, 4.693926949703114)",9.38,4.89,Two-Sample Welch's t-test,0.003,2.77,"(inf, 4123.81840956338)",9192.32,6786.49,Two-Sample Welch's t-test,2.4075281789785774,6.152157728024834,3.7446295490462562,True,True
46-52_Excellent,205,205,0,,,,,,,,,,,,,,,,,
46-52_Good,199,133,66,0.0,55.99,"(4.218579266751635, 4.526708081240289)",9.51,5.14,Two-Sample Welch's t-test,0.0,5.64,"(inf, 10603.151976475776)",13069.63,5218.79,Two-Sample Welch's t-test,3.144019152557039,7.129985425922104,3.985966273365065,True,True
